n,C(w),S(w)
1,2.4999999999999996,2.5
2,-1.0596988312782172,0.2932914190872754
4,-2.7400933906827762,0.8171158893362452
6,-0.5565020777348471,-0.06398460597675035
8,-0.8525839844506502,-0.047404209596103794
16,0.321135477105176,0.5289650026401411
32,0.5279261018627923,0.49939723926618573
64,0.5554337226772806,0.49920003456073037
128,0.5616211714063721,0.4991918752481136
256,0.5631310609097672,0.49919141206291706
