polynomial,age,error
quadr. k = 1,1144.999999999999,1.4801568729499195
cubic. k = 2,1144.9999999999995,1.4801568729494647
cubic. k = 3,1143.7323437499995,2.7478131229495375
newt. k = 2,1144.9999999999995,1.4801568729494647
newt. k = 3,1143.7323437499995,2.7478131229495375
