polynomial,RMSE,MAE
0,16.90308509457894,8.571428571434808
1,16.903085094566027,8.571428571427273
2,16.903085094570333,8.571428571428896
3,16.903085094570333,8.57142857142883
4,91.65151389911624,59.99999999999974
5,56.0611910581389,42.857142857142854
