t,r_x,r_y,r_z
0.0,-3.663765405256679e-22,3.663765405256679e-22,0.0
1e-12,0.0001025350594531145,3.663765405256685e-22,0.00028171276054986933
2e-12,0.000205070118906229,3.6637654052567035e-22,0.0005634255210997387
3e-12,0.00030760517835934354,3.6637654052567346e-22,0.000845138281649608
4e-12,0.000410140237812458,3.663765405256778e-22,0.0011268510421994773
5e-12,0.0005126752972655725,3.6637654052568333e-22,0.0014085638027493466
6e-12,0.000615210356718687,3.663765405256901e-22,0.001690276563299216
7e-12,0.0007177454161718014,3.663765405256981e-22,0.001971989323849085
8e-12,0.0008202804756249159,3.6637654052570736e-22,0.0022537020843989546
9e-12,0.0009228155350780304,3.6637654052571784e-22,0.002535414844948824
1e-11,0.001025350594531145,3.6637654052572955e-22,0.0028171276054986937
1.0999999999999999e-11,0.0011278856539842595,3.663765405257425e-22,0.0030988403660485633
1.2e-11,0.001230420713437374,3.6637654052575664e-22,0.003380553126598433
1.3e-11,0.0013329557728904884,3.6637654052577206e-22,0.0036622658871483024
1.4e-11,0.0014354908323436029,3.663765405257887e-22,0.003943978647698172
1.5e-11,0.0015380258917967174,3.6637654052580657e-22,0.0042256914082480414
1.6e-11,0.0016405609512498318,3.6637654052582566e-22,0.004507404168797911
1.7e-11,0.0017430960107029463,3.6637654052584597e-22,0.0047891169293477805
1.8e-11,0.0018456310701560608,3.6637654052586755e-22,0.00507082968989765
1.9e-11,0.0019481661296091753,3.6637654052589036e-22,0.00535254245044752
2e-11,0.00205070118906229,3.663765405259144e-22,0.005634255210997389
2.1e-11,0.0021532362485154046,3.6637654052593964e-22,0.005915967971547259
2.1999999999999998e-11,0.0022557713079685193,3.663765405259661e-22,0.006197680732097128
2.2999999999999998e-11,0.002358306367421634,3.6637654052599385e-22,0.006479393492646998
2.4e-11,0.0024608414268747487,3.663765405260228e-22,0.006761106253196867
2.5e-11,0.0025633764863278634,3.66376540526053e-22,0.007042819013746737
2.6e-11,0.002665911545780978,3.663765405260844e-22,0.0073245317742966064
2.7e-11,0.002768446605234093,3.6637654052611704e-22,0.007606244534846476
2.8e-11,0.0028709816646872075,3.6637654052615094e-22,0.007887957295396346
2.9e-11,0.002973516724140322,3.6637654052618607e-22,0.008169670055946215
3e-11,0.003076051783593437,3.663765405262224e-22,0.008451382816496085
3.0999999999999996e-11,0.0031785868430465516,3.6637654052626e-22,0.008733095577045954
3.2e-11,0.0032811219024996663,3.6637654052629877e-22,0.009014808337595824
3.3e-11,0.003383656961952781,3.6637654052633883e-22,0.009296521098145693
3.4e-11,0.0034861920214058957,3.663765405263801e-22,0.009578233858695563
3.5e-11,0.0035887270808590103,3.663765405264226e-22,0.009859946619245432
3.6e-11,0.003691262140312125,3.6637654052646635e-22,0.010141659379795302
3.7e-11,0.0037937971997652397,3.663765405265113e-22,0.010423372140345171
3.8e-11,0.0038963322592183544,3.663765405265575e-22,0.010705084900895041
3.9e-11,0.003998867318671469,3.6637654052660497e-22,0.01098679766144491
4e-11,0.004101402378124583,3.6637654052665363e-22,0.01126851042199478
4.1e-11,0.004203937437577698,3.663765405267035e-22,0.01155022318254465
4.2e-11,0.004306472497030812,3.6637654052675463e-22,0.01183193594309452
4.3e-11,0.004409007556483926,3.66376540526807e-22,0.012113648703644389
4.3999999999999997e-11,0.00451154261593704,3.663765405268606e-22,0.012395361464194258
4.5e-11,0.004614077675390155,3.6637654052691544e-22,0.012677074224744128
4.5999999999999996e-11,0.004716612734843269,3.663765405269715e-22,0.012958786985293997
4.7e-11,0.004819147794296383,3.6637654052702876e-22,0.013240499745843867
4.8e-11,0.0049216828537494975,3.663765405270873e-22,0.013522212506393736
4.9e-11,0.005024217913202612,3.6637654052714706e-22,0.013803925266943606
