t,v_x,v_y,v_z
0.0,0.0,1.0,0.0
1e-12,-0.15953813097841524,0.8096113289902749,0.0
2e-12,-0.28330429381809286,0.5942461206545755,0.0
3e-12,-0.3674803008709565,0.36054843003101616,0.0
4e-12,-0.4094693275302321,0.11572786891129033,0.0
5e-12,-0.4079760241088099,-0.13266281185651707,0.0
6e-12,-0.3630464770135105,-0.37696072585878054,0.0
7e-12,-0.2760667864242443,-0.609629252208381,0.0
8e-12,-0.14972030437379114,-0.8234905412319845,0.0
9e-12,0.012095147544051166,-1.0119469519233193,0.0
1e-11,0.20438752697704668,-1.169184589792621,0.0
1.0999999999999999e-11,0.4212245764212225,-1.290352665950326,0.0
1.2e-11,0.6559168345247846,-1.3717131441837485,0.0
1.3e-11,0.901224007154739,-1.4107560594070403,0.0
1.4e-11,1.1495783316422898,-1.4062769499092382,0.0
1.5e-11,1.3933180433839043,-1.3584140146209427,0.0
1.6e-11,1.6249237423187672,-1.2686438491095837,0.0
1.7e-11,1.8372503673447274,-1.139735891865335,0.0
1.8e-11,2.0237476222334974,-0.9756669862326108,0.0
1.9e-11,2.178662052881553,-0.7814986937790472,0.0
2e-11,2.2972145417946543,-0.5632211440158147,0.0
2.1e-11,2.3757477440880157,-0.32756823773948757,0.0
2.1999999999999998e-11,2.4118389165945646,-0.08180990500824481,0.0
2.2999999999999998e-11,2.404374659302728,0.16647217336963085,0.0
2.4e-11,2.353585263356215,0.4096184618068053,0.0
2.5e-11,2.2610376059920556,0.6401278676422956,0.0
2.6e-11,2.129586811625955,0.850889150765158,0.0
2.7e-11,1.9632881703636738,1.0354003061413393,0.0
2.8e-11,1.7672720312801378,1.187969151269001,0.0
2.9e-11,1.5475855300401182,1.3038889304208097,0.0
3e-11,1.3110060335976386,1.3795835182696048,0.0
3.0999999999999996e-11,1.064832057241082,1.4127177433590679,0.0
3.2e-11,0.8166581042296975,1.4022694279401895,0.0
3.3e-11,0.5741403742547118,1.3485609217508416,0.0
3.4e-11,0.3447605686533732,1.2532491569338169,0.0
3.5e-11,0.13559507901670725,1.1192745309173944,0.0
3.6e-11,-0.04690332024961441,0.9507701942451007,0.0
3.7e-11,-0.19710454060339397,0.7529345418531765,0.0
3.8e-11,-0.3103748679961639,0.531870841471564,0.0
3.9e-11,-0.38321991314903764,0.29439894664664695,0.0
4e-11,-0.41339241345205213,0.04784490307502004,0.0
4.1e-11,-0.39996156079871314,-0.200185061070573,0.0
4.2e-11,-0.3433417165987422,-0.44203918838876866,0.0
4.3e-11,-0.2452796281237557,-0.6702562499836993,0.0
4.3999999999999997e-11,-0.10880054058027266,-0.8777957252731836,0.0
4.5e-11,0.0618851326235349,-1.0582550027962452,0.0
4.5999999999999996e-11,0.26151170216673747,-1.206066901351983,0.0
4.7e-11,0.48392065045113963,-1.3166714179249137,0.0
4.8e-11,0.722250623039262,-1.3866564039614029,0.0
4.9e-11,0.9691491026228556,-1.413862830128396,0.0
5e-11,1.2169992353434889,-1.3974513921373917,0.0
5.1e-11,1.458154811837381,-1.33792840285111,0.0
5.2e-11,1.6851761538052126,-1.2371301719146512,0.0
5.3e-11,1.8910596289750454,-1.098166354818558,0.0
5.4e-11,2.069453713894372,-0.925324019099386,0.0
5.5e-11,2.2148549389914365,-0.7239353872641083,0.0
5.6e-11,2.322777670983329,-0.5002133366012864,0.0
5.7e-11,2.3898924948320848,-0.26105973074452143,0.0
5.8e-11,2.4141289261602252,-0.013852495995618358,0.0
5.9e-11,2.394739285448906,0.2337819888605902,0.0
6e-11,2.332321763507208,0.47420416743979854,0.0
6.1e-11,2.228801966656547,0.6999969870761291,0.0
6.199999999999999e-11,2.0873735109806604,0.9041947157747664,0.0
6.3e-11,1.9123994983330932,1.0804978357692514,0.0
6.4e-11,1.7092779135962366,1.2234673841948214,0.0
6.5e-11,1.4842750957188295,1.328692745451045,0.0
6.6e-11,1.2443324199852461,1.3929277188483162,0.0
6.7e-11,0.9968521554047819,1.414190663846521,0.0
6.8e-11,0.7494691035569814,1.39182563340689,0.0
